method,display_name,path,true_class,pred_class,confidence
resnet50_balanced,ResNet-50 Balanced,.\outputs\fresh_benchmark_514\06_classification\crops\fully_ripe\00321_20260212_164110_f00000473_t000015.769s_fully_ripe_0008.jpg,fully_ripe,over_ripe,0.99462890625
resnet50_balanced,ResNet-50 Balanced,.\outputs\fresh_benchmark_514\06_classification\crops\fully_ripe\00227_20260212_161655_f00002930_t000097.676s_fully_ripe_0014.jpg,fully_ripe,over_ripe,0.99462890625
resnet50_balanced,ResNet-50 Balanced,.\outputs\fresh_benchmark_514\06_classification\crops\fully_ripe\00321_20260212_164110_f00000473_t000015.769s_fully_ripe_0006.jpg,fully_ripe,over_ripe,0.99462890625
resnet50_balanced,ResNet-50 Balanced,.\outputs\fresh_benchmark_514\06_classification\crops\fully_ripe\20260430_114546_fully_ripe_0036.jpg,fully_ripe,over_ripe,0.99365234375
resnet50_balanced,ResNet-50 Balanced,.\outputs\fresh_benchmark_514\06_classification\crops\fully_ripe\00127_20260212_161655_f00001703_t000056.772s_fully_ripe_0004.jpg,fully_ripe,over_ripe,0.99365234375
resnet50_balanced,ResNet-50 Balanced,.\outputs\fresh_benchmark_514\06_classification\crops\fully_ripe\00246_20260212_161655_f00003255_t000108.511s_fully_ripe_0006.jpg,fully_ripe,over_ripe,0.9931640625
resnet50_balanced,ResNet-50 Balanced,.\outputs\fresh_benchmark_514\06_classification\crops\fully_ripe\00082_20260212_161655_f00001136_t000037.870s_fully_ripe_0019.jpg,fully_ripe,over_ripe,0.99267578125
resnet50_balanced,ResNet-50 Balanced,.\outputs\fresh_benchmark_514\06_classification\crops\fully_ripe\20260430_114546_fully_ripe_0030.jpg,fully_ripe,over_ripe,0.9921875
resnet50_balanced,ResNet-50 Balanced,.\outputs\fresh_benchmark_514\06_classification\crops\fully_ripe\00007_20260212_161655_f00000198_t000006.601s_fully_ripe_0001.jpg,fully_ripe,over_ripe,0.9921875
resnet50_balanced,ResNet-50 Balanced,.\outputs\fresh_benchmark_514\06_classification\crops\fully_ripe\00019_20260212_161655_f00000327_t000010.901s_fully_ripe_0005.jpg,fully_ripe,over_ripe,0.9912109375
resnet50_balanced,ResNet-50 Balanced,.\outputs\fresh_benchmark_514\06_classification\crops\fully_ripe\00007_20260212_161655_f00000198_t000006.601s_fully_ripe_0016.jpg,fully_ripe,over_ripe,0.9912109375
resnet50_balanced,ResNet-50 Balanced,.\outputs\fresh_benchmark_514\06_classification\crops\pink_turns_purple\00223_20260212_161655_f00002878_t000095.943s_pink_turns_purple_0002.jpg,pink_turns_purple,over_ripe,0.99072265625
resnet50_balanced,ResNet-50 Balanced,.\outputs\fresh_benchmark_514\06_classification\crops\fully_ripe\00019_20260212_161655_f00000327_t000010.901s_fully_ripe_0006.jpg,fully_ripe,over_ripe,0.990234375
resnet50_balanced,ResNet-50 Balanced,.\outputs\fresh_benchmark_514\06_classification\crops\fully_ripe\00669_dji_fly_20260217_114521_0_f00000372_t000012.400s_fully_ripe_0023.jpg,fully_ripe,over_ripe,0.9892578125
resnet50_balanced,ResNet-50 Balanced,.\outputs\fresh_benchmark_514\06_classification\crops\pale_pink\20260430_105552_pale_pink_0001.jpg,pale_pink,pink_turns_purple,0.9892578125
efficientnetv2_s,EfficientNetV2-S,.\outputs\fresh_benchmark_514\06_classification\crops\over_ripe\20260430_113229_over_ripe_0004.jpg,over_ripe,fully_ripe,0.9921875
efficientnetv2_s,EfficientNetV2-S,.\outputs\fresh_benchmark_514\06_classification\crops\fully_ripe\20260430_114008_fully_ripe_0004.jpg,fully_ripe,green_immature,0.98974609375
efficientnetv2_s,EfficientNetV2-S,.\outputs\fresh_benchmark_514\06_classification\crops\fully_ripe\20260430_110757_fully_ripe_0008.jpg,fully_ripe,green_immature,0.986328125
efficientnetv2_s,EfficientNetV2-S,.\outputs\fresh_benchmark_514\06_classification\crops\fully_ripe\00257_20260212_161655_f00003374_t000112.478s_fully_ripe_0023.jpg,fully_ripe,green_immature,0.98291015625
efficientnetv2_s,EfficientNetV2-S,.\outputs\fresh_benchmark_514\06_classification\crops\pale_pink\00669_dji_fly_20260217_114521_0_f00000372_t000012.400s_pale_pink_0003.jpg,pale_pink,green_immature,0.97705078125
efficientnetv2_s,EfficientNetV2-S,.\outputs\fresh_benchmark_514\06_classification\crops\over_ripe\20260430_113229_over_ripe_0013.jpg,over_ripe,fully_ripe,0.9765625
efficientnetv2_s,EfficientNetV2-S,.\outputs\fresh_benchmark_514\06_classification\crops\over_ripe\20260430_113919_over_ripe_0002.jpg,over_ripe,fully_ripe,0.97607421875
efficientnetv2_s,EfficientNetV2-S,.\outputs\fresh_benchmark_514\06_classification\crops\over_ripe\20260430_105552_over_ripe_0001.jpg,over_ripe,fully_ripe,0.974609375
efficientnetv2_s,EfficientNetV2-S,.\outputs\fresh_benchmark_514\06_classification\crops\over_ripe\20260430_113229_over_ripe_0005.jpg,over_ripe,fully_ripe,0.970703125
efficientnetv2_s,EfficientNetV2-S,.\outputs\fresh_benchmark_514\06_classification\crops\over_ripe\20260430_113229_over_ripe_0015.jpg,over_ripe,fully_ripe,0.9619140625
efficientnetv2_s,EfficientNetV2-S,.\outputs\fresh_benchmark_514\06_classification\crops\over_ripe\20260430_113251_over_ripe_0002.jpg,over_ripe,fully_ripe,0.95556640625
efficientnetv2_s,EfficientNetV2-S,.\outputs\fresh_benchmark_514\06_classification\crops\green_immature\20260430_114124_green_immature_0018.jpg,green_immature,pale_pink,0.95556640625
efficientnetv2_s,EfficientNetV2-S,.\outputs\fresh_benchmark_514\06_classification\crops\fully_ripe\20260430_111630_fully_ripe_0018.jpg,fully_ripe,green_immature,0.95458984375
efficientnetv2_s,EfficientNetV2-S,.\outputs\fresh_benchmark_514\06_classification\crops\over_ripe\20260430_113229_over_ripe_0011.jpg,over_ripe,fully_ripe,0.95263671875
efficientnetv2_s,EfficientNetV2-S,.\outputs\fresh_benchmark_514\06_classification\crops\green_immature\20260430_113229_green_immature_0007.jpg,green_immature,fully_ripe,0.95263671875
efficientnetv2_s,EfficientNetV2-S,.\outputs\fresh_benchmark_514\06_classification\crops\pink_turns_purple\20260430_105507_pink_turns_purple_0001.jpg,pink_turns_purple,fully_ripe,0.95166015625
efficientnetv2_s,EfficientNetV2-S,.\outputs\fresh_benchmark_514\06_classification\crops\over_ripe\20260430_113229_over_ripe_0008.jpg,over_ripe,fully_ripe,0.94970703125
efficientnetv2_s,EfficientNetV2-S,.\outputs\fresh_benchmark_514\06_classification\crops\over_ripe\20260430_113229_over_ripe_0006.jpg,over_ripe,fully_ripe,0.94775390625
efficientnetv2_s,EfficientNetV2-S,.\outputs\fresh_benchmark_514\06_classification\crops\over_ripe\20260430_113229_over_ripe_0014.jpg,over_ripe,fully_ripe,0.94677734375
efficientnetv2_s,EfficientNetV2-S,.\outputs\fresh_benchmark_514\06_classification\crops\over_ripe\20260430_110647_over_ripe_0001.jpg,over_ripe,fully_ripe,0.94384765625
efficientnetv2_s,EfficientNetV2-S,.\outputs\fresh_benchmark_514\06_classification\crops\fully_ripe\00227_20260212_161655_f00002930_t000097.676s_fully_ripe_0027.jpg,fully_ripe,over_ripe,0.9423828125
efficientnetv2_s,EfficientNetV2-S,.\outputs\fresh_benchmark_514\06_classification\crops\over_ripe\20260430_111507_over_ripe_0001.jpg,over_ripe,pink_turns_purple,0.94189453125
efficientnetv2_s,EfficientNetV2-S,.\outputs\fresh_benchmark_514\06_classification\crops\over_ripe\20260430_113229_over_ripe_0009.jpg,over_ripe,fully_ripe,0.94140625
efficientnetv2_s,EfficientNetV2-S,.\outputs\fresh_benchmark_514\06_classification\crops\over_ripe\20260430_113229_over_ripe_0001.jpg,over_ripe,fully_ripe,0.93896484375
efficientnetv2_s,EfficientNetV2-S,.\outputs\fresh_benchmark_514\06_classification\crops\over_ripe\20260430_110635_over_ripe_0003.jpg,over_ripe,fully_ripe,0.9384765625
convnextv2_tiny,ConvNeXtV2-T,.\outputs\fresh_benchmark_514\06_classification\crops\pale_pink\20260430_111952_pale_pink_0001.jpg,pale_pink,pink_turns_purple,0.9794921875
convnextv2_tiny,ConvNeXtV2-T,.\outputs\fresh_benchmark_514\06_classification\crops\over_ripe\20260430_105552_over_ripe_0002.jpg,over_ripe,fully_ripe,0.97265625
convnextv2_tiny,ConvNeXtV2-T,.\outputs\fresh_benchmark_514\06_classification\crops\over_ripe\20260430_105607_over_ripe_0001.jpg,over_ripe,fully_ripe,0.97119140625
convnextv2_tiny,ConvNeXtV2-T,.\outputs\fresh_benchmark_514\06_classification\crops\green_immature\20260430_113229_green_immature_0007.jpg,green_immature,fully_ripe,0.97119140625
convnextv2_tiny,ConvNeXtV2-T,.\outputs\fresh_benchmark_514\06_classification\crops\over_ripe\20260430_113229_over_ripe_0008.jpg,over_ripe,fully_ripe,0.97021484375
convnextv2_tiny,ConvNeXtV2-T,.\outputs\fresh_benchmark_514\06_classification\crops\over_ripe\00223_20260212_161655_f00002878_t000095.943s_over_ripe_0005.jpg,over_ripe,fully_ripe,0.97021484375
convnextv2_tiny,ConvNeXtV2-T,.\outputs\fresh_benchmark_514\06_classification\crops\pale_pink\00611_dji_fly_20260217_114201_0_f00000658_t000021.933s_pale_pink_0001.jpg,pale_pink,pink_turns_purple,0.9697265625
convnextv2_tiny,ConvNeXtV2-T,.\outputs\fresh_benchmark_514\06_classification\crops\over_ripe\20260430_110647_over_ripe_0002.jpg,over_ripe,fully_ripe,0.9697265625
convnextv2_tiny,ConvNeXtV2-T,.\outputs\fresh_benchmark_514\06_classification\crops\over_ripe\20260430_113251_over_ripe_0005.jpg,over_ripe,fully_ripe,0.9697265625
convnextv2_tiny,ConvNeXtV2-T,.\outputs\fresh_benchmark_514\06_classification\crops\over_ripe\20260430_113229_over_ripe_0014.jpg,over_ripe,fully_ripe,0.96923828125
convnextv2_tiny,ConvNeXtV2-T,.\outputs\fresh_benchmark_514\06_classification\crops\pink_turns_purple\20260430_115223_pink_turns_purple_0001.jpg,pink_turns_purple,fully_ripe,0.96923828125
convnextv2_tiny,ConvNeXtV2-T,.\outputs\fresh_benchmark_514\06_classification\crops\over_ripe\20260430_113229_over_ripe_0004.jpg,over_ripe,fully_ripe,0.96875
convnextv2_tiny,ConvNeXtV2-T,.\outputs\fresh_benchmark_514\06_classification\crops\over_ripe\20260430_110635_over_ripe_0001.jpg,over_ripe,fully_ripe,0.96875
convnextv2_tiny,ConvNeXtV2-T,.\outputs\fresh_benchmark_514\06_classification\crops\pale_pink\20260430_113919_pale_pink_0001.jpg,pale_pink,pink_turns_purple,0.96875
convnextv2_tiny,ConvNeXtV2-T,.\outputs\fresh_benchmark_514\06_classification\crops\over_ripe\20260430_113919_over_ripe_0002.jpg,over_ripe,fully_ripe,0.96826171875
convnextv2_tiny,ConvNeXtV2-T,.\outputs\fresh_benchmark_514\06_classification\crops\over_ripe\20260430_105552_over_ripe_0001.jpg,over_ripe,fully_ripe,0.96826171875
convnextv2_tiny,ConvNeXtV2-T,.\outputs\fresh_benchmark_514\06_classification\crops\pink_turns_purple\00223_20260212_161655_f00002878_t000095.943s_pink_turns_purple_0002.jpg,pink_turns_purple,over_ripe,0.9677734375
convnextv2_tiny,ConvNeXtV2-T,.\outputs\fresh_benchmark_514\06_classification\crops\over_ripe\20260430_113229_over_ripe_0005.jpg,over_ripe,fully_ripe,0.9677734375
convnextv2_tiny,ConvNeXtV2-T,.\outputs\fresh_benchmark_514\06_classification\crops\over_ripe\20260430_110635_over_ripe_0004.jpg,over_ripe,fully_ripe,0.96728515625
convnextv2_tiny,ConvNeXtV2-T,.\outputs\fresh_benchmark_514\06_classification\crops\over_ripe\00140_20260212_161655_f00001835_t000061.173s_over_ripe_0009.jpg,over_ripe,fully_ripe,0.966796875
convnextv2_tiny,ConvNeXtV2-T,.\outputs\fresh_benchmark_514\06_classification\crops\over_ripe\20260430_113229_over_ripe_0001.jpg,over_ripe,fully_ripe,0.96630859375
convnextv2_tiny,ConvNeXtV2-T,.\outputs\fresh_benchmark_514\06_classification\crops\over_ripe\00223_20260212_161655_f00002878_t000095.943s_over_ripe_0003.jpg,over_ripe,fully_ripe,0.96630859375
convnextv2_tiny,ConvNeXtV2-T,.\outputs\fresh_benchmark_514\06_classification\crops\over_ripe\00669_dji_fly_20260217_114521_0_f00000372_t000012.400s_over_ripe_0006.jpg,over_ripe,fully_ripe,0.96630859375
convnextv2_tiny,ConvNeXtV2-T,.\outputs\fresh_benchmark_514\06_classification\crops\over_ripe\20260430_113229_over_ripe_0011.jpg,over_ripe,fully_ripe,0.96630859375
convnextv2_tiny,ConvNeXtV2-T,.\outputs\fresh_benchmark_514\06_classification\crops\over_ripe\20260430_111630_over_ripe_0001.jpg,over_ripe,fully_ripe,0.96630859375
mobilenetv3_large,MobileNetV3-Large,.\outputs\fresh_benchmark_514\06_classification\crops\over_ripe\20260430_105552_over_ripe_0001.jpg,over_ripe,fully_ripe,0.99658203125
mobilenetv3_large,MobileNetV3-Large,.\outputs\fresh_benchmark_514\06_classification\crops\over_ripe\20260430_110647_over_ripe_0002.jpg,over_ripe,fully_ripe,0.99462890625
mobilenetv3_large,MobileNetV3-Large,.\outputs\fresh_benchmark_514\06_classification\crops\pink_turns_purple\00019_20260212_161655_f00000327_t000010.901s_pink_turns_purple_0004.jpg,pink_turns_purple,fully_ripe,0.994140625
mobilenetv3_large,MobileNetV3-Large,.\outputs\fresh_benchmark_514\06_classification\crops\fully_ripe\00007_20260212_161655_f00000198_t000006.601s_fully_ripe_0015.jpg,fully_ripe,over_ripe,0.9921875
mobilenetv3_large,MobileNetV3-Large,.\outputs\fresh_benchmark_514\06_classification\crops\over_ripe\20260430_113229_over_ripe_0013.jpg,over_ripe,fully_ripe,0.9921875
mobilenetv3_large,MobileNetV3-Large,.\outputs\fresh_benchmark_514\06_classification\crops\green_immature\20260430_113229_green_immature_0007.jpg,green_immature,fully_ripe,0.9912109375
mobilenetv3_large,MobileNetV3-Large,.\outputs\fresh_benchmark_514\06_classification\crops\green_immature\20260430_111434_green_immature_0028.jpg,green_immature,fully_ripe,0.99072265625
mobilenetv3_large,MobileNetV3-Large,.\outputs\fresh_benchmark_514\06_classification\crops\over_ripe\20260430_113251_over_ripe_0005.jpg,over_ripe,fully_ripe,0.986328125
mobilenetv3_large,MobileNetV3-Large,.\outputs\fresh_benchmark_514\06_classification\crops\over_ripe\20260430_105607_over_ripe_0001.jpg,over_ripe,fully_ripe,0.98486328125
mobilenetv3_large,MobileNetV3-Large,.\outputs\fresh_benchmark_514\06_classification\crops\over_ripe\20260430_113229_over_ripe_0005.jpg,over_ripe,fully_ripe,0.984375
mobilenetv3_large,MobileNetV3-Large,.\outputs\fresh_benchmark_514\06_classification\crops\pink_turns_purple\20260430_105507_pink_turns_purple_0001.jpg,pink_turns_purple,fully_ripe,0.98388671875
mobilenetv3_large,MobileNetV3-Large,.\outputs\fresh_benchmark_514\06_classification\crops\fully_ripe\20260430_114008_fully_ripe_0004.jpg,fully_ripe,green_immature,0.982421875
mobilenetv3_large,MobileNetV3-Large,.\outputs\fresh_benchmark_514\06_classification\crops\pale_pink\00127_20260212_161655_f00001703_t000056.772s_pale_pink_0002.jpg,pale_pink,green_immature,0.9814453125
mobilenetv3_large,MobileNetV3-Large,.\outputs\fresh_benchmark_514\06_classification\crops\over_ripe\20260430_111630_over_ripe_0001.jpg,over_ripe,fully_ripe,0.98046875
mobilenetv3_large,MobileNetV3-Large,.\outputs\fresh_benchmark_514\06_classification\crops\over_ripe\20260430_110647_over_ripe_0001.jpg,over_ripe,fully_ripe,0.9794921875
mobilenetv3_large,MobileNetV3-Large,.\outputs\fresh_benchmark_514\06_classification\crops\fully_ripe\00257_20260212_161655_f00003374_t000112.478s_fully_ripe_0005.jpg,fully_ripe,green_immature,0.97802734375
mobilenetv3_large,MobileNetV3-Large,.\outputs\fresh_benchmark_514\06_classification\crops\over_ripe\20260430_113229_over_ripe_0011.jpg,over_ripe,fully_ripe,0.97802734375
mobilenetv3_large,MobileNetV3-Large,.\outputs\fresh_benchmark_514\06_classification\crops\over_ripe\20260430_113229_over_ripe_0015.jpg,over_ripe,fully_ripe,0.97802734375
mobilenetv3_large,MobileNetV3-Large,.\outputs\fresh_benchmark_514\06_classification\crops\pale_pink\00669_dji_fly_20260217_114521_0_f00000372_t000012.400s_pale_pink_0003.jpg,pale_pink,green_immature,0.97509765625
mobilenetv3_large,MobileNetV3-Large,.\outputs\fresh_benchmark_514\06_classification\crops\over_ripe\20260430_113229_over_ripe_0004.jpg,over_ripe,fully_ripe,0.9716796875
mobilenetv3_large,MobileNetV3-Large,.\outputs\fresh_benchmark_514\06_classification\crops\over_ripe\00140_20260212_161655_f00001835_t000061.173s_over_ripe_0022.jpg,over_ripe,fully_ripe,0.97021484375
mobilenetv3_large,MobileNetV3-Large,.\outputs\fresh_benchmark_514\06_classification\crops\fully_ripe\00321_20260212_164110_f00000473_t000015.769s_fully_ripe_0003.jpg,fully_ripe,over_ripe,0.97021484375
mobilenetv3_large,MobileNetV3-Large,.\outputs\fresh_benchmark_514\06_classification\crops\over_ripe\20260430_113229_over_ripe_0001.jpg,over_ripe,fully_ripe,0.96875
mobilenetv3_large,MobileNetV3-Large,.\outputs\fresh_benchmark_514\06_classification\crops\green_immature\20260430_115351_green_immature_0004.jpg,green_immature,pale_pink,0.9677734375
mobilenetv3_large,MobileNetV3-Large,.\outputs\fresh_benchmark_514\06_classification\crops\over_ripe\20260430_113251_over_ripe_0001.jpg,over_ripe,fully_ripe,0.96728515625
efficientnet_b4,EfficientNet-B4,.\outputs\fresh_benchmark_514\06_classification\crops\over_ripe\20260430_105552_over_ripe_0001.jpg,over_ripe,fully_ripe,0.9912109375
efficientnet_b4,EfficientNet-B4,.\outputs\fresh_benchmark_514\06_classification\crops\fully_ripe\20260430_114008_fully_ripe_0004.jpg,fully_ripe,green_immature,0.98388671875
efficientnet_b4,EfficientNet-B4,.\outputs\fresh_benchmark_514\06_classification\crops\fully_ripe\20260430_111630_fully_ripe_0018.jpg,fully_ripe,green_immature,0.9755859375
efficientnet_b4,EfficientNet-B4,.\outputs\fresh_benchmark_514\06_classification\crops\over_ripe\20260430_113229_over_ripe_0011.jpg,over_ripe,fully_ripe,0.9736328125
efficientnet_b4,EfficientNet-B4,.\outputs\fresh_benchmark_514\06_classification\crops\over_ripe\20260430_113919_over_ripe_0002.jpg,over_ripe,fully_ripe,0.970703125
efficientnet_b4,EfficientNet-B4,.\outputs\fresh_benchmark_514\06_classification\crops\green_immature\20260430_111434_green_immature_0028.jpg,green_immature,fully_ripe,0.966796875
efficientnet_b4,EfficientNet-B4,.\outputs\fresh_benchmark_514\06_classification\crops\fully_ripe\00246_20260212_161655_f00003255_t000108.511s_fully_ripe_0010.jpg,fully_ripe,over_ripe,0.96533203125
efficientnet_b4,EfficientNet-B4,.\outputs\fresh_benchmark_514\06_classification\crops\fully_ripe\00257_20260212_161655_f00003374_t000112.478s_fully_ripe_0023.jpg,fully_ripe,green_immature,0.962890625
efficientnet_b4,EfficientNet-B4,.\outputs\fresh_benchmark_514\06_classification\crops\over_ripe\20260430_105607_over_ripe_0001.jpg,over_ripe,fully_ripe,0.962890625
efficientnet_b4,EfficientNet-B4,.\outputs\fresh_benchmark_514\06_classification\crops\over_ripe\20260430_113251_over_ripe_0002.jpg,over_ripe,fully_ripe,0.9580078125
efficientnet_b4,EfficientNet-B4,.\outputs\fresh_benchmark_514\06_classification\crops\fully_ripe\00127_20260212_161655_f00001703_t000056.772s_fully_ripe_0004.jpg,fully_ripe,over_ripe,0.9560546875
efficientnet_b4,EfficientNet-B4,.\outputs\fresh_benchmark_514\06_classification\crops\over_ripe\20260430_110635_over_ripe_0004.jpg,over_ripe,fully_ripe,0.95458984375
efficientnet_b4,EfficientNet-B4,.\outputs\fresh_benchmark_514\06_classification\crops\pale_pink\20260430_105529_pale_pink_0001.jpg,pale_pink,pink_turns_purple,0.95458984375
efficientnet_b4,EfficientNet-B4,.\outputs\fresh_benchmark_514\06_classification\crops\over_ripe\20260430_110647_over_ripe_0002.jpg,over_ripe,fully_ripe,0.95361328125
efficientnet_b4,EfficientNet-B4,.\outputs\fresh_benchmark_514\06_classification\crops\over_ripe\20260430_113229_over_ripe_0012.jpg,over_ripe,fully_ripe,0.9482421875
efficientnet_b4,EfficientNet-B4,.\outputs\fresh_benchmark_514\06_classification\crops\green_immature\20260430_111306_green_immature_0037.jpg,green_immature,fully_ripe,0.9482421875
efficientnet_b4,EfficientNet-B4,.\outputs\fresh_benchmark_514\06_classification\crops\over_ripe\20260430_113229_over_ripe_0013.jpg,over_ripe,fully_ripe,0.9462890625
efficientnet_b4,EfficientNet-B4,.\outputs\fresh_benchmark_514\06_classification\crops\pink_turns_purple\00246_20260212_161655_f00003255_t000108.511s_pink_turns_purple_0009.jpg,pink_turns_purple,pale_pink,0.9453125
efficientnet_b4,EfficientNet-B4,.\outputs\fresh_benchmark_514\06_classification\crops\over_ripe\20260430_113229_over_ripe_0004.jpg,over_ripe,fully_ripe,0.94482421875
efficientnet_b4,EfficientNet-B4,.\outputs\fresh_benchmark_514\06_classification\crops\over_ripe\20260430_110635_over_ripe_0003.jpg,over_ripe,fully_ripe,0.94189453125
