path,y_true,y_pred,error,abs_error,display_name,method,stem
.\data\combined_514\images\20260430_110502.jpg,16.0,20.859375,4.859375,4.859375,EfficientNetV2-S Regression,count_efficientnetv2_s,
.\data\combined_514\images\20260430_110635.jpg,30.0,20.046875,-9.953125,9.953125,EfficientNetV2-S Regression,count_efficientnetv2_s,
.\data\combined_514\images\20260430_110647.jpg,60.0,44.90625,-15.09375,15.09375,EfficientNetV2-S Regression,count_efficientnetv2_s,
.\data\combined_514\images\20260430_110740.jpg,30.0,70.5,40.5,40.5,EfficientNetV2-S Regression,count_efficientnetv2_s,
.\data\combined_514\images\20260430_110757.jpg,21.0,20.578125,-0.421875,0.421875,EfficientNetV2-S Regression,count_efficientnetv2_s,
.\data\combined_514\images\20260430_110820.jpg,4.0,5.21875,1.21875,1.21875,EfficientNetV2-S Regression,count_efficientnetv2_s,
.\data\combined_514\images\20260430_111052.jpg,10.0,21.3125,11.3125,11.3125,EfficientNetV2-S Regression,count_efficientnetv2_s,
.\data\combined_514\images\20260430_111109.jpg,36.0,32.96875,-3.03125,3.03125,EfficientNetV2-S Regression,count_efficientnetv2_s,
.\data\combined_514\images\20260430_111122.jpg,34.0,24.328125,-9.671875,9.671875,EfficientNetV2-S Regression,count_efficientnetv2_s,
.\data\combined_514\images\20260430_111129.jpg,56.0,50.0625,-5.9375,5.9375,EfficientNetV2-S Regression,count_efficientnetv2_s,
.\data\combined_514\images\20260430_111135.jpg,50.0,38.28125,-11.71875,11.71875,EfficientNetV2-S Regression,count_efficientnetv2_s,
.\data\combined_514\images\20260430_111203.jpg,10.0,7.6953125,-2.3046875,2.3046875,EfficientNetV2-S Regression,count_efficientnetv2_s,
.\data\combined_514\images\20260430_111251.jpg,24.0,21.640625,-2.359375,2.359375,EfficientNetV2-S Regression,count_efficientnetv2_s,
.\data\combined_514\images\20260430_111306.jpg,53.0,31.765625,-21.234375,21.234375,EfficientNetV2-S Regression,count_efficientnetv2_s,
.\data\combined_514\images\20260430_111434.jpg,58.0,52.8125,-5.1875,5.1875,EfficientNetV2-S Regression,count_efficientnetv2_s,
.\data\combined_514\images\20260430_111507.jpg,45.0,37.625,-7.375,7.375,EfficientNetV2-S Regression,count_efficientnetv2_s,
.\data\combined_514\images\20260430_111630.jpg,60.0,74.3125,14.3125,14.3125,EfficientNetV2-S Regression,count_efficientnetv2_s,
.\data\combined_514\images\20260430_111919.jpg,3.0,6.90625,3.90625,3.90625,EfficientNetV2-S Regression,count_efficientnetv2_s,
.\data\combined_514\images\20260430_111941.jpg,5.0,9.953125,4.953125,4.953125,EfficientNetV2-S Regression,count_efficientnetv2_s,
.\data\combined_514\images\20260430_111952.jpg,24.0,14.5390625,-9.4609375,9.4609375,EfficientNetV2-S Regression,count_efficientnetv2_s,
.\data\combined_514\images\20260430_112049.jpg,23.0,30.046875,7.046875,7.046875,EfficientNetV2-S Regression,count_efficientnetv2_s,
.\data\combined_514\images\20260430_112103.jpg,23.0,38.40625,15.40625,15.40625,EfficientNetV2-S Regression,count_efficientnetv2_s,
.\data\combined_514\images\20260430_112241.jpg,40.0,35.125,-4.875,4.875,EfficientNetV2-S Regression,count_efficientnetv2_s,
.\data\combined_514\images\20260430_112314.jpg,61.0,51.59375,-9.40625,9.40625,EfficientNetV2-S Regression,count_efficientnetv2_s,
.\data\combined_514\images\20260430_112502.jpg,142.0,74.8125,-67.1875,67.1875,EfficientNetV2-S Regression,count_efficientnetv2_s,
.\data\combined_514\images\20260430_112536.jpg,13.0,15.9453125,2.9453125,2.9453125,EfficientNetV2-S Regression,count_efficientnetv2_s,
.\data\combined_514\images\20260430_113032.jpg,18.0,23.453125,5.453125,5.453125,EfficientNetV2-S Regression,count_efficientnetv2_s,
.\data\combined_514\images\20260430_113107.jpg,37.0,37.0625,0.0625,0.0625,EfficientNetV2-S Regression,count_efficientnetv2_s,
.\data\combined_514\images\20260430_113229.jpg,56.0,44.59375,-11.40625,11.40625,EfficientNetV2-S Regression,count_efficientnetv2_s,
.\data\combined_514\images\20260430_113251.jpg,13.0,14.09375,1.09375,1.09375,EfficientNetV2-S Regression,count_efficientnetv2_s,
.\data\combined_514\images\20260430_113345.jpg,11.0,22.8125,11.8125,11.8125,EfficientNetV2-S Regression,count_efficientnetv2_s,
.\data\combined_514\images\20260430_113507.jpg,16.0,11.4296875,-4.5703125,4.5703125,EfficientNetV2-S Regression,count_efficientnetv2_s,
.\data\combined_514\images\20260430_113627.jpg,44.0,40.3125,-3.6875,3.6875,EfficientNetV2-S Regression,count_efficientnetv2_s,
.\data\combined_514\images\20260430_113730.jpg,51.0,34.0,-17.0,17.0,EfficientNetV2-S Regression,count_efficientnetv2_s,
.\data\combined_514\images\20260430_113818.jpg,33.0,28.0,-5.0,5.0,EfficientNetV2-S Regression,count_efficientnetv2_s,
.\data\combined_514\images\20260430_113824.jpg,40.0,40.96875,0.96875,0.96875,EfficientNetV2-S Regression,count_efficientnetv2_s,
.\data\combined_514\images\20260430_113919.jpg,92.0,79.5,-12.5,12.5,EfficientNetV2-S Regression,count_efficientnetv2_s,
.\data\combined_514\images\20260430_114008.jpg,34.0,20.921875,-13.078125,13.078125,EfficientNetV2-S Regression,count_efficientnetv2_s,
.\data\combined_514\images\20260430_114051.jpg,26.0,24.609375,-1.390625,1.390625,EfficientNetV2-S Regression,count_efficientnetv2_s,
.\data\combined_514\images\20260430_114124.jpg,80.0,53.28125,-26.71875,26.71875,EfficientNetV2-S Regression,count_efficientnetv2_s,
.\data\combined_514\images\20260430_114129.jpg,21.0,20.125,-0.875,0.875,EfficientNetV2-S Regression,count_efficientnetv2_s,
.\data\combined_514\images\20260430_114341.jpg,34.0,39.3125,5.3125,5.3125,EfficientNetV2-S Regression,count_efficientnetv2_s,
.\data\combined_514\images\20260430_114516.jpg,29.0,21.90625,-7.09375,7.09375,EfficientNetV2-S Regression,count_efficientnetv2_s,
.\data\combined_514\images\20260430_114527.jpg,23.0,32.5,9.5,9.5,EfficientNetV2-S Regression,count_efficientnetv2_s,
.\data\combined_514\images\20260430_114546.jpg,140.0,76.625,-63.375,63.375,EfficientNetV2-S Regression,count_efficientnetv2_s,
.\data\combined_514\images\20260430_114601.jpg,41.0,20.65625,-20.34375,20.34375,EfficientNetV2-S Regression,count_efficientnetv2_s,
.\data\combined_514\images\20260430_114650.jpg,19.0,46.59375,27.59375,27.59375,EfficientNetV2-S Regression,count_efficientnetv2_s,
.\data\combined_514\images\20260430_115015.jpg,12.0,30.421875,18.421875,18.421875,EfficientNetV2-S Regression,count_efficientnetv2_s,
.\data\combined_514\images\20260430_115039.jpg,2.0,24.328125,22.328125,22.328125,EfficientNetV2-S Regression,count_efficientnetv2_s,
.\data\combined_514\images\20260430_115223.jpg,25.0,22.984375,-2.015625,2.015625,EfficientNetV2-S Regression,count_efficientnetv2_s,
.\data\combined_514\images\20260430_115310.jpg,28.0,27.984375,-0.015625,0.015625,EfficientNetV2-S Regression,count_efficientnetv2_s,
.\data\combined_514\images\20260430_115351.jpg,18.0,20.734375,2.734375,2.734375,EfficientNetV2-S Regression,count_efficientnetv2_s,
.\data\combined_514\images\00007_20260212_161655_f00000198_t000006.601s.jpg,154.0,135.25,-18.75,18.75,ResNet-50 Regression,count_resnet50,
.\data\combined_514\images\00019_20260212_161655_f00000327_t000010.901s.jpg,136.0,157.5,21.5,21.5,ResNet-50 Regression,count_resnet50,
.\data\combined_514\images\00082_20260212_161655_f00001136_t000037.870s.jpg,174.0,182.875,8.875,8.875,ResNet-50 Regression,count_resnet50,
.\data\combined_514\images\00127_20260212_161655_f00001703_t000056.772s.jpg,155.0,191.375,36.375,36.375,ResNet-50 Regression,count_resnet50,
.\data\combined_514\images\00140_20260212_161655_f00001835_t000061.173s.jpg,196.0,165.5,-30.5,30.5,ResNet-50 Regression,count_resnet50,
.\data\combined_514\images\00223_20260212_161655_f00002878_t000095.943s.jpg,143.0,182.5,39.5,39.5,ResNet-50 Regression,count_resnet50,
.\data\combined_514\images\00227_20260212_161655_f00002930_t000097.676s.jpg,171.0,181.5,10.5,10.5,ResNet-50 Regression,count_resnet50,
.\data\combined_514\images\00246_20260212_161655_f00003255_t000108.511s.jpg,131.0,150.25,19.25,19.25,ResNet-50 Regression,count_resnet50,
.\data\combined_514\images\00257_20260212_161655_f00003374_t000112.478s.jpg,172.0,183.625,11.625,11.625,ResNet-50 Regression,count_resnet50,
.\data\combined_514\images\00321_20260212_164110_f00000473_t000015.769s.jpg,133.0,155.0,22.0,22.0,ResNet-50 Regression,count_resnet50,
.\data\combined_514\images\00587_dji_fly_20260217_114201_0_f00000392_t000013.067s.jpg,86.0,85.4375,-0.5625,0.5625,ResNet-50 Regression,count_resnet50,
.\data\combined_514\images\00611_dji_fly_20260217_114201_0_f00000658_t000021.933s.jpg,269.0,216.25,-52.75,52.75,ResNet-50 Regression,count_resnet50,
.\data\combined_514\images\00669_dji_fly_20260217_114521_0_f00000372_t000012.400s.jpg,269.0,288.25,19.25,19.25,ResNet-50 Regression,count_resnet50,
.\data\combined_514\images\20260430_105347.jpg,51.0,42.75,-8.25,8.25,ResNet-50 Regression,count_resnet50,
.\data\combined_514\images\20260430_105507.jpg,38.0,17.15625,-20.84375,20.84375,ResNet-50 Regression,count_resnet50,
.\data\combined_514\images\20260430_105529.jpg,23.0,30.21875,7.21875,7.21875,ResNet-50 Regression,count_resnet50,
.\data\combined_514\images\20260430_105552.jpg,102.0,115.125,13.125,13.125,ResNet-50 Regression,count_resnet50,
.\data\combined_514\images\20260430_105607.jpg,33.0,8.53125,-24.46875,24.46875,ResNet-50 Regression,count_resnet50,
.\data\combined_514\images\20260430_105707.jpg,33.0,27.5625,-5.4375,5.4375,ResNet-50 Regression,count_resnet50,
.\data\combined_514\images\20260430_105805.jpg,18.0,15.890625,-2.109375,2.109375,ResNet-50 Regression,count_resnet50,
.\data\combined_514\images\20260430_105937.jpg,53.0,32.53125,-20.46875,20.46875,ResNet-50 Regression,count_resnet50,
.\data\combined_514\images\20260430_110121.jpg,29.0,42.28125,13.28125,13.28125,ResNet-50 Regression,count_resnet50,
.\data\combined_514\images\20260430_110309.jpg,38.0,19.40625,-18.59375,18.59375,ResNet-50 Regression,count_resnet50,
.\data\combined_514\images\20260430_110337.jpg,22.0,14.3125,-7.6875,7.6875,ResNet-50 Regression,count_resnet50,
.\data\combined_514\images\20260430_110428.jpg,22.0,19.015625,-2.984375,2.984375,ResNet-50 Regression,count_resnet50,
.\data\combined_514\images\20260430_110502.jpg,16.0,6.5546875,-9.4453125,9.4453125,ResNet-50 Regression,count_resnet50,
.\data\combined_514\images\20260430_110635.jpg,30.0,16.140625,-13.859375,13.859375,ResNet-50 Regression,count_resnet50,
.\data\combined_514\images\20260430_110647.jpg,60.0,47.0625,-12.9375,12.9375,ResNet-50 Regression,count_resnet50,
.\data\combined_514\images\20260430_110740.jpg,30.0,35.8125,5.8125,5.8125,ResNet-50 Regression,count_resnet50,
.\data\combined_514\images\20260430_110757.jpg,21.0,15.2890625,-5.7109375,5.7109375,ResNet-50 Regression,count_resnet50,
.\data\combined_514\images\20260430_110820.jpg,4.0,0.9619140625,-3.0380859375,3.0380859375,ResNet-50 Regression,count_resnet50,
.\data\combined_514\images\20260430_111052.jpg,10.0,16.84375,6.84375,6.84375,ResNet-50 Regression,count_resnet50,
.\data\combined_514\images\20260430_111109.jpg,36.0,34.625,-1.375,1.375,ResNet-50 Regression,count_resnet50,
.\data\combined_514\images\20260430_111122.jpg,34.0,43.46875,9.46875,9.46875,ResNet-50 Regression,count_resnet50,
.\data\combined_514\images\20260430_111129.jpg,56.0,53.90625,-2.09375,2.09375,ResNet-50 Regression,count_resnet50,
.\data\combined_514\images\20260430_111135.jpg,50.0,29.5625,-20.4375,20.4375,ResNet-50 Regression,count_resnet50,
.\data\combined_514\images\20260430_111203.jpg,10.0,9.2578125,-0.7421875,0.7421875,ResNet-50 Regression,count_resnet50,
.\data\combined_514\images\20260430_111251.jpg,24.0,33.5,9.5,9.5,ResNet-50 Regression,count_resnet50,
.\data\combined_514\images\20260430_111306.jpg,53.0,30.109375,-22.890625,22.890625,ResNet-50 Regression,count_resnet50,
.\data\combined_514\images\20260430_111434.jpg,58.0,32.59375,-25.40625,25.40625,ResNet-50 Regression,count_resnet50,
.\data\combined_514\images\20260430_111507.jpg,45.0,36.25,-8.75,8.75,ResNet-50 Regression,count_resnet50,
.\data\combined_514\images\20260430_111630.jpg,60.0,92.0,32.0,32.0,ResNet-50 Regression,count_resnet50,
.\data\combined_514\images\20260430_111919.jpg,3.0,0.51171875,-2.48828125,2.48828125,ResNet-50 Regression,count_resnet50,
.\data\combined_514\images\20260430_111941.jpg,5.0,4.94140625,-0.05859375,0.05859375,ResNet-50 Regression,count_resnet50,
.\data\combined_514\images\20260430_111952.jpg,24.0,19.078125,-4.921875,4.921875,ResNet-50 Regression,count_resnet50,
.\data\combined_514\images\20260430_112049.jpg,23.0,41.28125,18.28125,18.28125,ResNet-50 Regression,count_resnet50,
.\data\combined_514\images\20260430_112103.jpg,23.0,28.46875,5.46875,5.46875,ResNet-50 Regression,count_resnet50,
.\data\combined_514\images\20260430_112241.jpg,40.0,24.90625,-15.09375,15.09375,ResNet-50 Regression,count_resnet50,
.\data\combined_514\images\20260430_112314.jpg,61.0,85.0,24.0,24.0,ResNet-50 Regression,count_resnet50,
.\data\combined_514\images\20260430_112502.jpg,142.0,96.375,-45.625,45.625,ResNet-50 Regression,count_resnet50,
.\data\combined_514\images\20260430_112536.jpg,13.0,10.5,-2.5,2.5,ResNet-50 Regression,count_resnet50,
.\data\combined_514\images\20260430_113032.jpg,18.0,18.875,0.875,0.875,ResNet-50 Regression,count_resnet50,
.\data\combined_514\images\20260430_113107.jpg,37.0,18.859375,-18.140625,18.140625,ResNet-50 Regression,count_resnet50,
.\data\combined_514\images\20260430_113229.jpg,56.0,35.5,-20.5,20.5,ResNet-50 Regression,count_resnet50,
.\data\combined_514\images\20260430_113251.jpg,13.0,8.34375,-4.65625,4.65625,ResNet-50 Regression,count_resnet50,
.\data\combined_514\images\20260430_113345.jpg,11.0,22.6875,11.6875,11.6875,ResNet-50 Regression,count_resnet50,
.\data\combined_514\images\20260430_113507.jpg,16.0,15.078125,-0.921875,0.921875,ResNet-50 Regression,count_resnet50,
.\data\combined_514\images\20260430_113627.jpg,44.0,26.71875,-17.28125,17.28125,ResNet-50 Regression,count_resnet50,
.\data\combined_514\images\20260430_113730.jpg,51.0,25.484375,-25.515625,25.515625,ResNet-50 Regression,count_resnet50,
.\data\combined_514\images\20260430_113818.jpg,33.0,18.421875,-14.578125,14.578125,ResNet-50 Regression,count_resnet50,
.\data\combined_514\images\20260430_113824.jpg,40.0,38.15625,-1.84375,1.84375,ResNet-50 Regression,count_resnet50,
.\data\combined_514\images\20260430_113919.jpg,92.0,59.0625,-32.9375,32.9375,ResNet-50 Regression,count_resnet50,
.\data\combined_514\images\20260430_114008.jpg,34.0,17.328125,-16.671875,16.671875,ResNet-50 Regression,count_resnet50,
.\data\combined_514\images\20260430_114051.jpg,26.0,21.4375,-4.5625,4.5625,ResNet-50 Regression,count_resnet50,
.\data\combined_514\images\20260430_114124.jpg,80.0,78.8125,-1.1875,1.1875,ResNet-50 Regression,count_resnet50,
.\data\combined_514\images\20260430_114129.jpg,21.0,26.90625,5.90625,5.90625,ResNet-50 Regression,count_resnet50,
.\data\combined_514\images\20260430_114341.jpg,34.0,37.21875,3.21875,3.21875,ResNet-50 Regression,count_resnet50,
.\data\combined_514\images\20260430_114516.jpg,29.0,21.9375,-7.0625,7.0625,ResNet-50 Regression,count_resnet50,
.\data\combined_514\images\20260430_114527.jpg,23.0,21.046875,-1.953125,1.953125,ResNet-50 Regression,count_resnet50,
.\data\combined_514\images\20260430_114546.jpg,140.0,37.84375,-102.15625,102.15625,ResNet-50 Regression,count_resnet50,
.\data\combined_514\images\20260430_114601.jpg,41.0,9.59375,-31.40625,31.40625,ResNet-50 Regression,count_resnet50,
.\data\combined_514\images\20260430_114650.jpg,19.0,44.375,25.375,25.375,ResNet-50 Regression,count_resnet50,
.\data\combined_514\images\20260430_115015.jpg,12.0,12.40625,0.40625,0.40625,ResNet-50 Regression,count_resnet50,
.\data\combined_514\images\20260430_115039.jpg,2.0,9.703125,7.703125,7.703125,ResNet-50 Regression,count_resnet50,
.\data\combined_514\images\20260430_115223.jpg,25.0,23.40625,-1.59375,1.59375,ResNet-50 Regression,count_resnet50,
.\data\combined_514\images\20260430_115310.jpg,28.0,26.28125,-1.71875,1.71875,ResNet-50 Regression,count_resnet50,
.\data\combined_514\images\20260430_115351.jpg,18.0,9.90625,-8.09375,8.09375,ResNet-50 Regression,count_resnet50,
.\data\combined_514\images\00007_20260212_161655_f00000198_t000006.601s.jpg,154.0,27.484375,-126.515625,126.515625,ConvNeXtV2-T Regression,count_convnextv2_tiny,
.\data\combined_514\images\00019_20260212_161655_f00000327_t000010.901s.jpg,136.0,27.484375,-108.515625,108.515625,ConvNeXtV2-T Regression,count_convnextv2_tiny,
.\data\combined_514\images\00082_20260212_161655_f00001136_t000037.870s.jpg,174.0,27.484375,-146.515625,146.515625,ConvNeXtV2-T Regression,count_convnextv2_tiny,
.\data\combined_514\images\00127_20260212_161655_f00001703_t000056.772s.jpg,155.0,27.484375,-127.515625,127.515625,ConvNeXtV2-T Regression,count_convnextv2_tiny,
.\data\combined_514\images\00140_20260212_161655_f00001835_t000061.173s.jpg,196.0,27.484375,-168.515625,168.515625,ConvNeXtV2-T Regression,count_convnextv2_tiny,
.\data\combined_514\images\00223_20260212_161655_f00002878_t000095.943s.jpg,143.0,27.484375,-115.515625,115.515625,ConvNeXtV2-T Regression,count_convnextv2_tiny,
.\data\combined_514\images\00227_20260212_161655_f00002930_t000097.676s.jpg,171.0,27.484375,-143.515625,143.515625,ConvNeXtV2-T Regression,count_convnextv2_tiny,
.\data\combined_514\images\00246_20260212_161655_f00003255_t000108.511s.jpg,131.0,27.484375,-103.515625,103.515625,ConvNeXtV2-T Regression,count_convnextv2_tiny,
.\data\combined_514\images\00257_20260212_161655_f00003374_t000112.478s.jpg,172.0,27.484375,-144.515625,144.515625,ConvNeXtV2-T Regression,count_convnextv2_tiny,
.\data\combined_514\images\00321_20260212_164110_f00000473_t000015.769s.jpg,133.0,27.484375,-105.515625,105.515625,ConvNeXtV2-T Regression,count_convnextv2_tiny,
.\data\combined_514\images\00587_dji_fly_20260217_114201_0_f00000392_t000013.067s.jpg,86.0,27.484375,-58.515625,58.515625,ConvNeXtV2-T Regression,count_convnextv2_tiny,
.\data\combined_514\images\00611_dji_fly_20260217_114201_0_f00000658_t000021.933s.jpg,269.0,27.484375,-241.515625,241.515625,ConvNeXtV2-T Regression,count_convnextv2_tiny,
.\data\combined_514\images\00669_dji_fly_20260217_114521_0_f00000372_t000012.400s.jpg,269.0,27.484375,-241.515625,241.515625,ConvNeXtV2-T Regression,count_convnextv2_tiny,
.\data\combined_514\images\20260430_105347.jpg,51.0,27.484375,-23.515625,23.515625,ConvNeXtV2-T Regression,count_convnextv2_tiny,
.\data\combined_514\images\20260430_105507.jpg,38.0,27.484375,-10.515625,10.515625,ConvNeXtV2-T Regression,count_convnextv2_tiny,
.\data\combined_514\images\20260430_105529.jpg,23.0,27.484375,4.484375,4.484375,ConvNeXtV2-T Regression,count_convnextv2_tiny,
.\data\combined_514\images\20260430_105552.jpg,102.0,27.484375,-74.515625,74.515625,ConvNeXtV2-T Regression,count_convnextv2_tiny,
.\data\combined_514\images\20260430_105607.jpg,33.0,27.484375,-5.515625,5.515625,ConvNeXtV2-T Regression,count_convnextv2_tiny,
.\data\combined_514\images\20260430_105707.jpg,33.0,27.484375,-5.515625,5.515625,ConvNeXtV2-T Regression,count_convnextv2_tiny,
.\data\combined_514\images\20260430_105805.jpg,18.0,27.484375,9.484375,9.484375,ConvNeXtV2-T Regression,count_convnextv2_tiny,
.\data\combined_514\images\20260430_105937.jpg,53.0,27.484375,-25.515625,25.515625,ConvNeXtV2-T Regression,count_convnextv2_tiny,
.\data\combined_514\images\20260430_110121.jpg,29.0,27.484375,-1.515625,1.515625,ConvNeXtV2-T Regression,count_convnextv2_tiny,
.\data\combined_514\images\20260430_110309.jpg,38.0,27.484375,-10.515625,10.515625,ConvNeXtV2-T Regression,count_convnextv2_tiny,
.\data\combined_514\images\20260430_110337.jpg,22.0,27.484375,5.484375,5.484375,ConvNeXtV2-T Regression,count_convnextv2_tiny,
.\data\combined_514\images\20260430_110428.jpg,22.0,27.484375,5.484375,5.484375,ConvNeXtV2-T Regression,count_convnextv2_tiny,
.\data\combined_514\images\20260430_110502.jpg,16.0,27.484375,11.484375,11.484375,ConvNeXtV2-T Regression,count_convnextv2_tiny,
.\data\combined_514\images\20260430_110635.jpg,30.0,27.484375,-2.515625,2.515625,ConvNeXtV2-T Regression,count_convnextv2_tiny,
.\data\combined_514\images\20260430_110647.jpg,60.0,27.484375,-32.515625,32.515625,ConvNeXtV2-T Regression,count_convnextv2_tiny,
.\data\combined_514\images\20260430_110740.jpg,30.0,27.484375,-2.515625,2.515625,ConvNeXtV2-T Regression,count_convnextv2_tiny,
.\data\combined_514\images\20260430_110757.jpg,21.0,27.484375,6.484375,6.484375,ConvNeXtV2-T Regression,count_convnextv2_tiny,
.\data\combined_514\images\20260430_110820.jpg,4.0,27.46875,23.46875,23.46875,ConvNeXtV2-T Regression,count_convnextv2_tiny,
.\data\combined_514\images\20260430_111052.jpg,10.0,27.484375,17.484375,17.484375,ConvNeXtV2-T Regression,count_convnextv2_tiny,
.\data\combined_514\images\20260430_111109.jpg,36.0,27.484375,-8.515625,8.515625,ConvNeXtV2-T Regression,count_convnextv2_tiny,
.\data\combined_514\images\20260430_111122.jpg,34.0,27.484375,-6.515625,6.515625,ConvNeXtV2-T Regression,count_convnextv2_tiny,
.\data\combined_514\images\20260430_111129.jpg,56.0,27.484375,-28.515625,28.515625,ConvNeXtV2-T Regression,count_convnextv2_tiny,
.\data\combined_514\images\20260430_111135.jpg,50.0,27.484375,-22.515625,22.515625,ConvNeXtV2-T Regression,count_convnextv2_tiny,
.\data\combined_514\images\20260430_111203.jpg,10.0,27.484375,17.484375,17.484375,ConvNeXtV2-T Regression,count_convnextv2_tiny,
.\data\combined_514\images\20260430_111251.jpg,24.0,27.484375,3.484375,3.484375,ConvNeXtV2-T Regression,count_convnextv2_tiny,
.\data\combined_514\images\20260430_111306.jpg,53.0,27.484375,-25.515625,25.515625,ConvNeXtV2-T Regression,count_convnextv2_tiny,
.\data\combined_514\images\20260430_111434.jpg,58.0,27.484375,-30.515625,30.515625,ConvNeXtV2-T Regression,count_convnextv2_tiny,
.\data\combined_514\images\20260430_111507.jpg,45.0,27.484375,-17.515625,17.515625,ConvNeXtV2-T Regression,count_convnextv2_tiny,
.\data\combined_514\images\20260430_111630.jpg,60.0,27.484375,-32.515625,32.515625,ConvNeXtV2-T Regression,count_convnextv2_tiny,
.\data\combined_514\images\20260430_111919.jpg,3.0,27.484375,24.484375,24.484375,ConvNeXtV2-T Regression,count_convnextv2_tiny,
.\data\combined_514\images\20260430_111941.jpg,5.0,27.484375,22.484375,22.484375,ConvNeXtV2-T Regression,count_convnextv2_tiny,
.\data\combined_514\images\20260430_111952.jpg,24.0,27.484375,3.484375,3.484375,ConvNeXtV2-T Regression,count_convnextv2_tiny,
.\data\combined_514\images\20260430_112049.jpg,23.0,27.484375,4.484375,4.484375,ConvNeXtV2-T Regression,count_convnextv2_tiny,
.\data\combined_514\images\20260430_112103.jpg,23.0,27.484375,4.484375,4.484375,ConvNeXtV2-T Regression,count_convnextv2_tiny,
.\data\combined_514\images\20260430_112241.jpg,40.0,27.484375,-12.515625,12.515625,ConvNeXtV2-T Regression,count_convnextv2_tiny,
.\data\combined_514\images\20260430_112314.jpg,61.0,27.484375,-33.515625,33.515625,ConvNeXtV2-T Regression,count_convnextv2_tiny,
